date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,v_tat,c_tat,canceled_rides_by_customer,canceled_rides_by_driver,incomplete_rides,incomplete_rides_reason,booking_value,payment_method,ride_distance,driver_ratings,customer_rating,pickup_datetime,pickup_hour,pickup_day,pickup_dayofweek
2024-07-26 14:00:00,14:00:00,CNR7153255142,canceled by driver,CID713523,prime sedan,tumkur road,rt nagar,,,,Personal & Car related issue,,,444,unknown,0,4.0,4.0,2024-07-26 14:00:00,14,2024-07-26,Friday
2024-07-25 22:20:00,22:20:00,CNR2940424040,success,CID225428,bike,magadi road,varthur,203.0,30.0,,,No,,158,cash,13,4.1,4.0,2024-07-25 22:20:00,22,2024-07-25,Thursday
2024-07-30 19:59:00,19:59:00,CNR2982357879,success,CID270156,prime suv,sahakar nagar,varthur,238.0,130.0,,,No,,386,upi,40,4.2,4.8,2024-07-30 19:59:00,19,2024-07-30,Tuesday
2024-07-22 03:15:00,03:15:00,CNR2395710036,canceled by customer,CID581320,ebike,hsr layout,vijayanagar,,,Driver is not moving towards pickup location,,,,384,unknown,0,4.0,4.0,2024-07-22 03:15:00,3,2024-07-22,Monday
2024-07-02 09:02:00,09:02:00,CNR1797421769,success,CID939555,mini,rajajinagar,chamarajpet,252.0,80.0,,,No,,822,credit card,45,4.0,3.0,2024-07-02 09:02:00,9,2024-07-02,Tuesday
2024-07-13 04:42:00,04:42:00,CNR8787177882,success,CID802429,mini,kadugodi,vijayanagar,231.0,90.0,,,No,,173,upi,41,3.4,4.6,2024-07-13 04:42:00,4,2024-07-13,Saturday
2024-07-23 09:51:00,09:51:00,CNR3612067560,success,CID476071,bike,tumkur road,whitefield,133.0,40.0,,,No,,140,cash,49,3.2,4.5,2024-07-23 09:51:00,9,2024-07-23,Tuesday
2024-07-11 11:12:00,11:12:00,CNR5374902489,canceled by driver,CID735691,prime plus,bannerghatta road,sarjapur road,,,,Personal & Car related issue,,,344,unknown,0,4.0,4.0,2024-07-11 11:12:00,11,2024-07-11,Thursday
2024-07-01 19:19:00,19:19:00,CNR5030602354,driver not found,CID999840,mini,chamarajpet,peenya,,,,,,,839,unknown,0,4.0,4.0,2024-07-01 19:19:00,19,2024-07-01,Monday
2024-07-18 01:31:00,01:31:00,CNR6328453219,canceled by driver,CID907133,auto,rt nagar,varthur,,,,Personal & Car related issue,,,893,unknown,0,4.0,4.0,2024-07-18 01:31:00,1,2024-07-18,Thursday
2024-07-29 23:33:00,23:33:00,CNR4787583516,success,CID923404,prime plus,hosur road,jayanagar,35.0,55.0,,,No,,164,cash,46,4.5,3.4,2024-07-29 23:33:00,23,2024-07-29,Monday
2024-07-26 04:03:00,04:03:00,CNR7943634301,success,CID647026,prime plus,kammanahalli,rajajinagar,238.0,95.0,,,No,,399,cash,18,3.9,4.4,2024-07-26 04:03:00,4,2024-07-26,Friday
2024-07-27 13:18:00,13:18:00,CNR4524472111,success,CID540929,auto,cox town,yelahanka,126.0,35.0,,,No,,330,upi,8,3.0,4.8,2024-07-27 13:18:00,13,2024-07-27,Saturday
2024-07-17 18:55:00,18:55:00,CNR3914552212,canceled by driver,CID557845,auto,hosur road,banashankari,,,,Personal & Car related issue,,,427,unknown,0,4.0,4.0,2024-07-17 18:55:00,18,2024-07-17,Wednesday
2024-07-16 09:54:00,09:54:00,CNR8181602032,success,CID167642,bike,indiranagar,mg road,70.0,95.0,,,No,,378,upi,18,4.8,4.1,2024-07-16 09:54:00,9,2024-07-16,Tuesday
2024-07-02 10:25:00,10:25:00,CNR8090918544,success,CID640151,bike,magadi road,hsr layout,126.0,95.0,,,No,,343,upi,23,3.7,3.6,2024-07-02 10:25:00,10,2024-07-02,Tuesday
2024-07-02 23:50:00,23:50:00,CNR3211335290,driver not found,CID630354,mini,ramamurthy nagar,btm layout,,,,,,,366,unknown,0,4.0,4.0,2024-07-02 23:50:00,23,2024-07-02,Tuesday
2024-07-05 23:42:00,23:42:00,CNR3196156650,success,CID243275,bike,electronic city,langford town,140.0,40.0,,,No,,401,cash,8,3.3,3.9,2024-07-05 23:42:00,23,2024-07-05,Friday
2024-07-09 11:11:00,11:11:00,CNR9975925287,success,CID162055,prime suv,magadi road,rt nagar,42.0,30.0,,,No,,343,upi,17,3.0,3.8,2024-07-09 11:11:00,11,2024-07-09,Tuesday
2024-07-12 14:44:00,14:44:00,CNR1591113431,success,CID902781,ebike,koramangala,sarjapur road,245.0,70.0,,,No,,2014,cash,33,4.2,4.9,2024-07-12 14:44:00,14,2024-07-12,Friday
2024-07-11 20:42:00,20:42:00,CNR3650331573,success,CID217093,ebike,basavanagudi,hulimavu,84.0,25.0,,,No,,650,cash,34,4.9,3.4,2024-07-11 20:42:00,20,2024-07-11,Thursday
2024-07-08 22:33:00,22:33:00,CNR6013805089,success,CID817034,prime sedan,padmanabhanagar,jayanagar,168.0,65.0,,,No,,231,cash,2,3.2,3.7,2024-07-08 22:33:00,22,2024-07-08,Monday
2024-07-16 10:17:00,10:17:00,CNR4306636052,canceled by driver,CID103842,prime suv,mysore road,vijayanagar,,,,Customer was coughing/sick,,,909,unknown,0,4.0,4.0,2024-07-16 10:17:00,10,2024-07-16,Tuesday
2024-07-03 18:20:00,18:20:00,CNR9832070187,success,CID655872,bike,koramangala,btm layout,231.0,145.0,,,No,,189,cash,6,4.9,3.3,2024-07-03 18:20:00,18,2024-07-03,Wednesday
